data_extracao;codigo;nome;telefone;logradouro;numero;latitude;longitude
10/03/2020 01:58;380;OSCAR PEREIRA X PRAÇA DA SAUDADE; ;AV PROF OSCAR PEREIRA ;400;-30,05484512;-51,21103217
10/03/2020 01:58;400;TEIXEIRA MENDES X NILO PEÇANHA; ;AV TEIXEIRA MENDES ;1309;-30,02874255;-51,1658299
10/03/2020 01:58;420;INDEPENDÊNCIA; ;AV INDEPENDENCIA ;813;-30,02945627;-51,2130118
10/03/2020 01:58;80;CAERGS;3288-1200 ;AV BORGES DE MEDEIROS ;1501;-30,04038358;-51,22863001
10/03/2020 01:58;101;ANITA GARIBALDI X FABIO N BARROS;3328-1891 ;R ANITA GARIBALDI ;1985;-30,02306509;-51,17599962
10/03/2020 01:58;123;ZAFFARI LIMA E SILVA;4141-4158;R LUIZ AFONSO ;143;-30,03858946;-51,22048106
10/03/2020 01:58;358;JOÃO ZANENGA X ASSIS BRASIL; ;R JOAO ZANENGA ;11;-30,01023646;-51,15546592
10/03/2020 01:58;55;HOSPITAL NOSSA SENHORA DA CONCEIÇÃO;3341-5688 ;AV FRANCISCO TREIN ;557;-30,01627887;-51,15928838
10/03/2020 01:58;161;PRAÇA ALBERTO PASQUALINI; ;AV ALBERTO PASQUALINI ;240;-30,02997162;-51,1451694
10/03/2020 01:58;436;BIG SHOPPING EDUARDO PRADO;3250-6064 ;AV, EDUARDO PRADO 330 ;1194;-30,12920884;-51,21865108
10/03/2020 01:58;30;TERMINAL ANTÔNIO DE CARVALHO;3336-5841 ;AV ANTONIO CARVALHO ;44;-30,06514332;-51,15105856
10/03/2020 01:58;132;FELIZARDO X FELIZARDO FURTADO;3330-1192 ;R FELIZARDO FURTADO ;649;-30,04921062;-51,18369016
10/03/2020 01:58;135;POSTO GLÓRIA;3339-0456 ;AV PROF OSCAR PEREIRA ;2728;-30,07429384;-51,20238165
10/03/2020 01:58;223;JOAO PESSOA X AVAI; ;AV JOÃO PESSOA ;85;-30,03317407;-51,22267423
10/03/2020 01:58;417;DEMETRIO RIBEIRO X GEN BENTO MARTINS; ;R DEMETRIO RIBEIRO ;551;-30,03576154;-51,23379305
10/03/2020 01:58;485;Polônia x Rio Grande;;AV POLONIA;255;-30,00753406;-51,20680332
10/03/2020 01:58;31;ASSIS BRASIL, 6464;3364-1234 ;AV ASSIS BRASIL ;6476;-29,99427503;-51,12961696
10/03/2020 01:58;237;BORGES DE MEDEIROS X PRAÇA MONTEVIDEO; ;AV BORGES DE MEDEIROS ;262;-30,02862975;-51,22801119
10/03/2020 01:58;249;SR DOS PASSOS X VOLUNTARIOS DA PATRIA; ;R SENHOR DOS PASSOS ;30;-30,02734084;-51,22400025
10/03/2020 01:58;86;BOTAFOGO X AZENHA;3223-3555 ;R BOTAFOGO ;1455;-30,05516258;-51,21513849
10/03/2020 01:58;310;AZENHA X IPIRANGA; ;AV DA AZENHA ;366;-30,04703717;-51,21370077
10/03/2020 01:58;256;SENHOR DOS PASSOS X ANDRADAS; ;R SENHOR DOS PASSOS ;259;-30,02942922;-51,22336987
10/03/2020 01:58;292;ANNES DIAS X PRAÇA DOM FELICIANO; ;R PROF ANNES DIAS ;155;-30,03077375;-51,22339897
10/03/2020 01:58;369;MARCILIO DIAS X AZENHA; ;R MARCILIO DIAS ;1565;-30,05048874;-51,2133247
10/03/2020 01:58;70;AUXILIADORA X 24 DE OUTUBRO;(51) 3337-2121;R AUXILIADORA ;268;-30,02167502;-51,19089981
